,Batsman_Name,Over,Bowler_Name,Batsman_country,Bowler_country,Host_country,Type_of_Match,Score,Run_rate,Match_time,Type_of_pitch,Type_of_Bowler,Type_of_Batsman,Bowling_area,Batting_area,Wickets,Result
53,Rohit Sharma,8.5,Morne Morkel,India,South Africa,South Africa,ODI,57,6.45,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length outside off,,1,1
54,Virat Kohli,8.6,Morne Morkel,India,South Africa,South Africa,ODI,57,6.33,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,,1,0
55,Rohit Sharma,9.1,Kagiso Rabada,India,South Africa,South Africa,ODI,58,6.32,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,bounce,third man,1,1
56,Virat Kohli,9.2,Kagiso Rabada,India,South Africa,South Africa,ODI,58,6.21,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,off stump,,1,0
57,Virat Kohli,9.3,Kagiso Rabada,India,South Africa,South Africa,ODI,60,6.31,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,mid-wicket,1,2
58,Virat Kohli,9.4,Kagiso Rabada,India,South Africa,South Africa,ODI,60,6.2,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball outside off,cover,1,0
59,Virat Kohli,9.5,Kagiso Rabada,India,South Africa,South Africa,ODI,60,6.1,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball outside off,point,1,0
60,Virat Kohli,9.6,Kagiso Rabada,India,South Africa,South Africa,ODI,61,6.1,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,cover,1,1
61,Virat Kohli,10.1,Lungi Ngidi,India,South Africa,South Africa,ODI,62,6.09,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball outside off,third man,1,1
62,Rohit Sharma,10.2,Lungi Ngidi,India,South Africa,South Africa,ODI,62,6,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,off-side,1,0
63,Rohit Sharma,10.3,Lungi Ngidi,India,South Africa,South Africa,ODI,68,6.47,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,deep square leg,1,6
64,Rohit Sharma,10.4,Lungi Ngidi,India,South Africa,South Africa,ODI,69,6.46,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,third man,1,1
65,Virat Kohli,10.5,Lungi Ngidi,India,South Africa,South Africa,ODI,69,6.36,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,mid-on,1,0
66,Virat Kohli,10.6,Lungi Ngidi,India,South Africa,South Africa,ODI,70,6.36,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,cover,1,1
67,Virat Kohli,11.1,Andile Phehlukwayo,India,South Africa,South Africa,ODI,74,6.62,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,cover,1,4
68,Virat Kohli,11.2,Andile Phehlukwayo,India,South Africa,South Africa,ODI,75,6.61,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length off stump,defend,1,1
69,Rohit Sharma,11.3,Andile Phehlukwayo,India,South Africa,South Africa,ODI,76,6.6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short,cover,1,1
70,Virat Kohli,11.4,Andile Phehlukwayo,India,South Africa,South Africa,ODI,76,6.51,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,slow delivery outside off,point,1,0
71,Virat Kohli,11.5,Andile Phehlukwayo,India,South Africa,South Africa,ODI,76,6.42,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short ball,,1,0
72,Virat Kohli,11.6,Andile Phehlukwayo,India,South Africa,South Africa,ODI,77,6.41,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length outside off,third man,1,1
73,Virat Kohli,12.1,Lungi Ngidi,India,South Africa,South Africa,ODI,77,6.32,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,cover,1,0
74,Virat Kohli,12.2,Lungi Ngidi,India,South Africa,South Africa,ODI,78,6.32,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,square,1,1
75,Rohit Sharma,12.3,Lungi Ngidi,India,South Africa,South Africa,ODI,79,6.32,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,deep square leg,1,1
76,Virat Kohli,12.4,Lungi Ngidi,India,South Africa,South Africa,ODI,79,6.23,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,length ball off stump,,1,0
77,Virat Kohli,12.5,Lungi Ngidi,India,South Africa,South Africa,ODI,79,6.15,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,slow delivery,cover,1,0
78,Virat Kohli,12.6,Lungi Ngidi,India,South Africa,South Africa,ODI,79,6.07,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length outside off,defend,1,0
79,Rohit Sharma,13.1,Andile Phehlukwayo,India,South Africa,South Africa,ODI,80,6.07,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short,third man,1,1
80,Virat Kohli,13.2,Andile Phehlukwayo,India,South Africa,South Africa,ODI,81,6.07,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,cover,1,1
81,Rohit Sharma,13.3,Andile Phehlukwayo,India,South Africa,South Africa,ODI,81,6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball off stump,mid-on,1,0
82,Rohit Sharma,13.4,Andile Phehlukwayo,India,South Africa,South Africa,ODI,82,6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length,third man,1,1
83,Virat Kohli,13.5,Andile Phehlukwayo,India,South Africa,South Africa,ODI,82,5.92,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball off stump,,1,0
84,Virat Kohli,13.6,Andile Phehlukwayo,India,South Africa,South Africa,ODI,84,6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,point,1,2
85,Rohit Sharma,14.1,Lungi Ngidi,India,South Africa,South Africa,ODI,84,5.92,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,cover,1,0
86,Rohit Sharma,14.2,Lungi Ngidi,India,South Africa,South Africa,ODI,84,5.86,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short of a length off stump,defend,1,0
87,Rohit Sharma,14.3,Lungi Ngidi,India,South Africa,South Africa,ODI,88,6.06,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,square,1,4
88,Rohit Sharma,14.4,Lungi Ngidi,India,South Africa,South Africa,ODI,89,6.06,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,long leg,1,1
89,Virat Kohli,14.5,Lungi Ngidi,India,South Africa,South Africa,ODI,89,6,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,fuller delivery,mid-on,1,0
90,Virat Kohli,14.6,Lungi Ngidi,India,South Africa,South Africa,ODI,90,6,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,mid-wicket,1,1
91,Virat Kohli,15.1,Andile Phehlukwayo,India,South Africa,South Africa,ODI,90,5.93,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short ball,mid-on,1,0
92,Virat Kohli,15.2,Andile Phehlukwayo,India,South Africa,South Africa,ODI,90,5.86,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,fuller delivery,point,1,0
93,Virat Kohli,15.3,Andile Phehlukwayo,India,South Africa,South Africa,ODI,92,5.93,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball outside off,third man,1,2
94,Virat Kohli,15.4,Andile Phehlukwayo,India,South Africa,South Africa,ODI,94,6,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short ball,deep square leg,1,2
95,Virat Kohli,15.5,Andile Phehlukwayo,India,South Africa,South Africa,ODI,94,5.93,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,short of a length outside off,,1,0
96,Virat Kohli,15.6,Andile Phehlukwayo,India,South Africa,South Africa,ODI,94,5.87,Day/Night,Flat/Cloudy,Right_arm_medium,Right_Hand_Batsman,length ball,point,1,0
97,Rohit Sharma,16.1,Lungi Ngidi,India,South Africa,South Africa,ODI,98,6.06,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short,point,1,4
98,Rohit Sharma,16.2,Lungi Ngidi,India,South Africa,South Africa,ODI,98,6,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,straighter delivery off stump,defend,1,0
99,Rohit Sharma,16.3,Lungi Ngidi,India,South Africa,South Africa,ODI,98,5.93,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,leave,1,0
100,Rohit Sharma,16.4,Lungi Ngidi,India,South Africa,South Africa,ODI,98,5.88,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,bounce,mid-off,1,0
101,Rohit Sharma,16.5,Lungi Ngidi,India,South Africa,South Africa,ODI,99,5.88,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,outside off,third man,1,1
102,Virat Kohli,16.6,Lungi Ngidi,India,South Africa,South Africa,ODI,99,5.82,Day/Night,Flat/Cloudy,Right_arm_fast,Right_Hand_Batsman,short ball,square,1,0
103,Rohit Sharma,17.1,Jean-Paul Duminy,India,South Africa,South Africa,ODI,103,6,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,bounce,point,1,4
104,Rohit Sharma,17.2,Jean-Paul Duminy,India,South Africa,South Africa,ODI,107,6.17,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,short and wide,point,1,4
105,Rohit Sharma,17.3,Jean-Paul Duminy,India,South Africa,South Africa,ODI,107,6.11,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,fuller delivery,,1,0
106,Rohit Sharma,17.4,Jean-Paul Duminy,India,South Africa,South Africa,ODI,108,6.11,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,toss up outside off,long-off,1,1
107,Virat Kohli,17.5,Jean-Paul Duminy,India,South Africa,South Africa,ODI,109,6.11,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,flight delivery outside off,long-on,1,1
108,Rohit Sharma,17.5,Jean-Paul Duminy,India,South Africa,South Africa,ODI,110,6.16,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,outside off,off-side,1,1
109,Rohit Sharma,17.6,Jean-Paul Duminy,India,South Africa,South Africa,ODI,111,6.16,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,flatter delivery outside off,deep point,1,1
110,Rohit Sharma,18.1,Tabraiz Shamsi,India,South Africa,South Africa,ODI,112,6.16,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,toss up outside off,cover,1,1
111,Virat Kohli,18.2,Tabraiz Shamsi,India,South Africa,South Africa,ODI,112,6.1,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball off stump,defend,1,0
112,Virat Kohli,18.3,Tabraiz Shamsi,India,South Africa,South Africa,ODI,113,6.1,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,,long-on,1,1
113,Rohit Sharma,18.4,Tabraiz Shamsi,India,South Africa,South Africa,ODI,113,6.05,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,fuller delivery,to the bowler,1,0
114,Rohit Sharma,18.5,Tabraiz Shamsi,India,South Africa,South Africa,ODI,113,6,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,short of a length outside off,point,1,0
115,Rohit Sharma,18.6,Tabraiz Shamsi,India,South Africa,South Africa,ODI,113,5.94,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball on stump,on-side,1,0
116,Virat Kohli,19.1,Jean-Paul Duminy,India,South Africa,South Africa,ODI,113,5.89,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,outside off,cover,1,0
117,Virat Kohli,19.2,Jean-Paul Duminy,India,South Africa,South Africa,ODI,114,5.89,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,length ball,mid-wicket,1,1
118,Rohit Sharma,19.3,Jean-Paul Duminy,India,South Africa,South Africa,ODI,114,5.84,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,length ball outside off,off side,1,0
119,Rohit Sharma,19.4,Jean-Paul Duminy,India,South Africa,South Africa,ODI,114,5.79,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,length ball off stump,cover,1,0
120,Rohit Sharma,19.5,Jean-Paul Duminy,India,South Africa,South Africa,ODI,114,5.74,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,short of a length off stump,long-on,1,0
121,Rohit Sharma,19.6,Jean-Paul Duminy,India,South Africa,South Africa,ODI,114,5.7,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,fuller delivery,to the bowler,1,0
122,Virat Kohli,20.1,Tabraiz Shamsi,India,South Africa,South Africa,ODI,115,5.7,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,toss up outside off,long-off,1,1
123,Rohit Sharma,20.2,Tabraiz Shamsi,India,South Africa,South Africa,ODI,115,5.65,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,fuller delivery,square,1,0
124,Rohit Sharma,20.3,Tabraiz Shamsi,India,South Africa,South Africa,ODI,115,5.6,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,short,mid-wicket,1,0
125,Rohit Sharma,20.4,Tabraiz Shamsi,India,South Africa,South Africa,ODI,119,5.75,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball on stump,square,1,4
126,Rohit Sharma,20.5,Tabraiz Shamsi,India,South Africa,South Africa,ODI,119,5.71,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball outside off,cover,1,0
127,Rohit Sharma,20.6,Tabraiz Shamsi,India,South Africa,South Africa,ODI,119,5.66,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,flight delivery outside off,off-side,1,0
128,Virat Kohli,21.1,Jean-Paul Duminy,India,South Africa,South Africa,ODI,119,5.62,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,short of a length off stump,,1,0
129,Virat Kohli,21.2,Jean-Paul Duminy,India,South Africa,South Africa,ODI,120,5.62,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,short of a length off stump,long-on,1,1
130,Rohit Sharma,21.3,Jean-Paul Duminy,India,South Africa,South Africa,ODI,126,5.86,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,bounce,,1,6
131,Rohit Sharma,21.4,Jean-Paul Duminy,India,South Africa,South Africa,ODI,127,5.86,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,outside off,long-off,1,1
132,Virat Kohli,21.5,Jean-Paul Duminy,India,South Africa,South Africa,ODI,128,5.86,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,fuller delivery,cover,1,1
133,Rohit Sharma,21.6,Jean-Paul Duminy,India,South Africa,South Africa,ODI,128,5.81,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,short ball,,1,0
134,Virat Kohli,22.1,Tabraiz Shamsi,India,South Africa,South Africa,ODI,130,5.86,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball off stump,slip,1,2
135,Virat Kohli,22.2,Tabraiz Shamsi,India,South Africa,South Africa,ODI,130,5.82,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,fuller delivery,defend,1,0
136,Virat Kohli,22.3,Tabraiz Shamsi,India,South Africa,South Africa,ODI,131,5.82,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,,mid-wicket,1,1
137,Rohit Sharma,22.4,Tabraiz Shamsi,India,South Africa,South Africa,ODI,131,5.77,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball on stump,square,1,0
138,Rohit Sharma,22.5,Tabraiz Shamsi,India,South Africa,South Africa,ODI,133,5.82,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,short of a length outside off,sweep,1,2
139,Rohit Sharma,22.6,Tabraiz Shamsi,India,South Africa,South Africa,ODI,133,5.78,Day/Night,Flat/Cloudy,Left_arm_chinaman,Right_Hand_Batsman,length ball off stump,off side,1,0
140,Virat Kohli,23.1,Jean-Paul Duminy,India,South Africa,South Africa,ODI,133,5.74,Day/Night,Flat/Cloudy,Right_arm_offbreak,Right_Hand_Batsman,yorker,to the bowler,1,0
